age,bmi,goal
32,23.37,MAINTAIN
40,44.42,LOSE_WEIGHT
58,15.77,GAIN_MUSCLE
48,15.43,GAIN_MUSCLE
24,24.11,MAINTAIN
50,25.72,LOSE_WEIGHT
28,14.04,GAIN_MUSCLE
45,25.4,LOSE_WEIGHT
29,39.14,LOSE_WEIGHT
22,19.47,MAINTAIN
28,25.51,LOSE_WEIGHT
37,18.93,MAINTAIN
54,26.96,LOSE_WEIGHT
35,36.71,LOSE_WEIGHT
30,13.14,GAIN_MUSCLE
59,28.59,LOSE_WEIGHT
32,38.7,LOSE_WEIGHT
38,29.87,LOSE_WEIGHT
40,40.62,LOSE_WEIGHT
39,16.48,GAIN_MUSCLE
59,20.72,MAINTAIN
55,14.99,GAIN_MUSCLE
43,22.31,MAINTAIN
29,18.97,MAINTAIN
59,42.41,LOSE_WEIGHT
15,29.97,LOSE_WEIGHT
39,28.43,LOSE_WEIGHT
21,22.17,MAINTAIN
23,13.65,GAIN_MUSCLE
38,27.31,LOSE_WEIGHT
15,15.96,GAIN_MUSCLE
58,26.3,LOSE_WEIGHT
22,25.02,LOSE_WEIGHT
38,43.43,LOSE_WEIGHT
25,14.76,GAIN_MUSCLE
31,32.3,LOSE_WEIGHT
22,32.36,LOSE_WEIGHT
49,25.62,LOSE_WEIGHT
49,40.89,LOSE_WEIGHT
47,46.07,LOSE_WEIGHT
19,37.63,LOSE_WEIGHT
56,16.77,GAIN_MUSCLE
53,25.86,LOSE_WEIGHT
55,41.84,LOSE_WEIGHT
42,23.14,MAINTAIN
21,42.38,LOSE_WEIGHT
23,13.45,GAIN_MUSCLE
22,34.57,LOSE_WEIGHT
26,24.63,MAINTAIN
48,21.27,MAINTAIN
47,24.99,LOSE_WEIGHT
37,30.09,LOSE_WEIGHT
38,33.5,LOSE_WEIGHT
51,13.78,GAIN_MUSCLE
49,21.02,MAINTAIN
58,23.59,MAINTAIN
54,16.01,GAIN_MUSCLE
36,24.3,MAINTAIN
41,22.92,MAINTAIN
49,24.52,MAINTAIN
15,16.07,GAIN_MUSCLE
49,22.86,MAINTAIN
51,18.37,GAIN_MUSCLE
28,27.55,LOSE_WEIGHT
17,22.38,MAINTAIN
15,27.69,LOSE_WEIGHT
19,41.11,LOSE_WEIGHT
40,42.17,LOSE_WEIGHT
28,26.35,LOSE_WEIGHT
53,40.03,LOSE_WEIGHT
41,27.81,LOSE_WEIGHT
23,26.03,LOSE_WEIGHT
29,25.66,LOSE_WEIGHT
29,21.54,MAINTAIN
40,12.05,GAIN_MUSCLE
56,23.93,MAINTAIN
27,16.24,GAIN_MUSCLE
46,23.57,MAINTAIN
53,25.09,LOSE_WEIGHT
46,18.71,MAINTAIN
18,28.23,LOSE_WEIGHT
44,20.36,MAINTAIN
51,34.91,LOSE_WEIGHT
37,29.44,LOSE_WEIGHT
53,12.3,GAIN_MUSCLE
59,18.7,MAINTAIN
29,24.26,MAINTAIN
57,13.66,GAIN_MUSCLE
43,23.26,MAINTAIN
50,12.49,GAIN_MUSCLE
27,18.54,MAINTAIN
46,16.95,GAIN_MUSCLE
21,22.59,MAINTAIN
36,28.72,LOSE_WEIGHT
42,18.83,MAINTAIN
16,28.82,LOSE_WEIGHT
56,19.73,MAINTAIN
59,23.16,MAINTAIN
20,18.12,GAIN_MUSCLE
42,44.7,LOSE_WEIGHT
42,24.3,MAINTAIN
58,19.93,MAINTAIN
58,34.63,LOSE_WEIGHT
34,18.18,GAIN_MUSCLE
44,29.11,LOSE_WEIGHT
25,26.53,LOSE_WEIGHT
42,24.87,MAINTAIN
39,37.09,LOSE_WEIGHT
53,18.52,MAINTAIN
47,17.6,GAIN_MUSCLE
15,37.98,LOSE_WEIGHT
41,28.68,LOSE_WEIGHT
27,18.04,GAIN_MUSCLE
55,42.9,LOSE_WEIGHT
17,27.13,LOSE_WEIGHT
53,26.08,LOSE_WEIGHT
20,25.14,LOSE_WEIGHT
22,26.74,LOSE_WEIGHT
41,26.85,LOSE_WEIGHT
23,16.67,GAIN_MUSCLE
51,22.78,MAINTAIN
47,28.75,LOSE_WEIGHT
56,28.47,LOSE_WEIGHT
58,37.06,LOSE_WEIGHT
38,22.8,MAINTAIN
29,27.58,LOSE_WEIGHT
46,28.02,LOSE_WEIGHT
46,42.35,LOSE_WEIGHT
38,26.18,LOSE_WEIGHT
55,41.46,LOSE_WEIGHT
26,13.58,GAIN_MUSCLE
53,42.42,LOSE_WEIGHT
16,16.95,GAIN_MUSCLE
17,24.81,MAINTAIN
51,39.07,LOSE_WEIGHT
31,15.13,GAIN_MUSCLE
16,21.32,MAINTAIN
16,28.81,LOSE_WEIGHT
42,37.72,LOSE_WEIGHT
37,35.41,LOSE_WEIGHT
51,26.32,LOSE_WEIGHT
46,13.09,GAIN_MUSCLE
47,24.67,MAINTAIN
15,23.5,MAINTAIN
33,28.1,LOSE_WEIGHT
16,21.76,MAINTAIN
58,27.86,LOSE_WEIGHT
40,38.87,LOSE_WEIGHT
46,25.9,LOSE_WEIGHT
20,43.94,LOSE_WEIGHT
46,40.5,LOSE_WEIGHT
18,27.82,LOSE_WEIGHT
25,18.49,GAIN_MUSCLE
31,24.23,MAINTAIN
52,21.69,MAINTAIN
38,37.55,LOSE_WEIGHT
19,20.99,MAINTAIN
48,38.13,LOSE_WEIGHT
20,18.16,GAIN_MUSCLE
36,23.91,MAINTAIN
25,18.9,MAINTAIN
30,17.34,GAIN_MUSCLE
47,31.06,LOSE_WEIGHT
23,18.36,GAIN_MUSCLE
20,28.04,LOSE_WEIGHT
30,22.09,MAINTAIN
43,28.01,LOSE_WEIGHT
17,13.74,GAIN_MUSCLE
34,31.68,LOSE_WEIGHT
50,12.37,GAIN_MUSCLE
33,25.75,LOSE_WEIGHT
40,23.94,MAINTAIN
17,15.32,GAIN_MUSCLE
33,13.35,GAIN_MUSCLE
34,41.84,LOSE_WEIGHT
46,27.24,LOSE_WEIGHT
21,12.76,GAIN_MUSCLE
55,14.92,GAIN_MUSCLE
47,41.12,LOSE_WEIGHT
54,15.77,GAIN_MUSCLE
53,34.21,LOSE_WEIGHT
32,12.31,GAIN_MUSCLE
54,26.29,LOSE_WEIGHT
15,28.68,LOSE_WEIGHT
25,17.15,GAIN_MUSCLE
42,34.02,LOSE_WEIGHT
39,18.43,GAIN_MUSCLE
37,22.58,MAINTAIN
45,37.57,LOSE_WEIGHT
44,13.64,GAIN_MUSCLE
56,22.63,MAINTAIN
49,32.7,LOSE_WEIGHT
21,26.97,LOSE_WEIGHT
30,23.22,MAINTAIN
40,14.24,GAIN_MUSCLE
16,18.11,GAIN_MUSCLE
15,19.98,MAINTAIN
26,33.61,LOSE_WEIGHT
19,30.79,LOSE_WEIGHT
51,20.39,MAINTAIN
46,28.98,LOSE_WEIGHT
23,15.17,GAIN_MUSCLE
55,16.64,GAIN_MUSCLE
49,30.27,LOSE_WEIGHT
33,14.0,GAIN_MUSCLE
30,25.38,LOSE_WEIGHT
17,19.31,MAINTAIN
34,19.57,MAINTAIN
38,20.39,MAINTAIN
47,30.28,LOSE_WEIGHT
38,30.45,LOSE_WEIGHT
25,23.96,MAINTAIN
22,21.47,MAINTAIN
50,16.99,GAIN_MUSCLE
52,14.04,GAIN_MUSCLE
54,16.09,GAIN_MUSCLE
34,28.45,LOSE_WEIGHT
49,27.97,LOSE_WEIGHT
39,14.71,GAIN_MUSCLE
49,25.58,LOSE_WEIGHT
39,25.41,LOSE_WEIGHT
43,20.3,MAINTAIN
32,16.42,GAIN_MUSCLE
32,31.35,LOSE_WEIGHT
16,31.64,LOSE_WEIGHT
49,13.27,GAIN_MUSCLE
30,22.01,MAINTAIN
55,37.3,LOSE_WEIGHT
50,36.61,LOSE_WEIGHT
47,44.69,LOSE_WEIGHT
18,25.07,LOSE_WEIGHT
47,25.67,LOSE_WEIGHT
28,13.77,GAIN_MUSCLE
35,18.21,GAIN_MUSCLE
34,26.52,LOSE_WEIGHT
22,42.73,LOSE_WEIGHT
21,17.23,GAIN_MUSCLE
17,15.41,GAIN_MUSCLE
31,39.32,LOSE_WEIGHT
47,15.79,GAIN_MUSCLE
26,20.11,MAINTAIN
36,14.92,GAIN_MUSCLE
36,19.66,MAINTAIN
44,24.26,MAINTAIN
52,17.74,GAIN_MUSCLE
52,28.55,LOSE_WEIGHT
59,26.2,LOSE_WEIGHT
22,21.16,MAINTAIN
41,15.45,GAIN_MUSCLE
41,43.98,LOSE_WEIGHT
48,16.12,GAIN_MUSCLE
35,30.82,LOSE_WEIGHT
44,29.42,LOSE_WEIGHT
47,21.64,MAINTAIN
42,26.81,LOSE_WEIGHT
47,36.45,LOSE_WEIGHT
19,37.49,LOSE_WEIGHT
33,20.4,MAINTAIN
18,17.71,GAIN_MUSCLE
49,28.39,LOSE_WEIGHT
31,28.35,LOSE_WEIGHT
58,37.32,LOSE_WEIGHT
42,40.8,LOSE_WEIGHT
44,27.15,LOSE_WEIGHT
43,24.73,MAINTAIN
20,14.07,GAIN_MUSCLE
49,35.54,LOSE_WEIGHT
55,42.3,LOSE_WEIGHT
51,21.44,MAINTAIN
38,14.15,GAIN_MUSCLE
43,20.17,MAINTAIN
45,38.04,LOSE_WEIGHT
49,23.7,MAINTAIN
47,16.38,GAIN_MUSCLE
35,38.7,LOSE_WEIGHT
46,27.71,LOSE_WEIGHT
37,17.3,GAIN_MUSCLE
47,24.96,LOSE_WEIGHT
17,19.11,MAINTAIN
32,34.69,LOSE_WEIGHT
39,37.52,LOSE_WEIGHT
56,15.83,GAIN_MUSCLE
45,15.58,GAIN_MUSCLE
17,28.97,LOSE_WEIGHT
54,12.16,GAIN_MUSCLE
38,28.35,LOSE_WEIGHT
46,26.2,LOSE_WEIGHT
36,19.03,MAINTAIN
37,24.01,MAINTAIN
16,14.0,GAIN_MUSCLE
41,40.93,LOSE_WEIGHT
56,20.12,MAINTAIN
16,33.07,LOSE_WEIGHT
40,13.53,GAIN_MUSCLE
31,22.23,MAINTAIN
54,15.35,GAIN_MUSCLE
47,25.75,LOSE_WEIGHT
23,27.63,LOSE_WEIGHT
57,37.12,LOSE_WEIGHT
53,24.95,LOSE_WEIGHT
43,14.13,GAIN_MUSCLE
56,32.26,LOSE_WEIGHT
40,20.85,MAINTAIN
49,19.6,MAINTAIN
39,24.29,MAINTAIN
38,41.13,LOSE_WEIGHT
27,30.31,LOSE_WEIGHT
21,42.88,LOSE_WEIGHT
50,29.59,LOSE_WEIGHT
59,36.15,LOSE_WEIGHT
34,27.8,LOSE_WEIGHT
15,29.49,LOSE_WEIGHT
22,22.53,MAINTAIN
30,17.01,GAIN_MUSCLE
28,16.02,GAIN_MUSCLE
26,21.53,MAINTAIN
37,24.79,MAINTAIN
29,30.04,LOSE_WEIGHT
42,13.06,GAIN_MUSCLE
48,30.73,LOSE_WEIGHT
16,23.96,MAINTAIN
46,27.44,LOSE_WEIGHT
37,18.0,GAIN_MUSCLE
36,15.8,GAIN_MUSCLE
39,22.43,MAINTAIN
36,21.18,MAINTAIN
36,28.18,LOSE_WEIGHT
56,18.65,MAINTAIN
20,14.25,GAIN_MUSCLE
29,17.93,GAIN_MUSCLE
57,23.09,MAINTAIN
51,25.82,LOSE_WEIGHT
47,14.05,GAIN_MUSCLE
22,39.89,LOSE_WEIGHT
58,20.87,MAINTAIN
58,25.63,LOSE_WEIGHT
19,30.53,LOSE_WEIGHT
53,34.03,LOSE_WEIGHT
18,21.28,MAINTAIN
20,28.27,LOSE_WEIGHT
59,16.27,GAIN_MUSCLE
46,22.28,MAINTAIN
44,25.05,LOSE_WEIGHT
49,29.05,LOSE_WEIGHT
54,30.38,LOSE_WEIGHT
30,16.1,GAIN_MUSCLE
27,15.59,GAIN_MUSCLE
56,20.52,MAINTAIN
44,27.6,LOSE_WEIGHT
33,24.4,MAINTAIN
31,14.83,GAIN_MUSCLE
33,25.4,LOSE_WEIGHT
42,28.28,LOSE_WEIGHT
40,18.17,GAIN_MUSCLE
51,15.58,GAIN_MUSCLE
40,18.15,GAIN_MUSCLE
37,16.53,GAIN_MUSCLE
23,19.35,MAINTAIN
26,12.66,GAIN_MUSCLE
15,14.7,GAIN_MUSCLE
15,42.31,LOSE_WEIGHT
48,24.37,MAINTAIN
46,18.06,GAIN_MUSCLE
39,44.64,LOSE_WEIGHT
54,13.35,GAIN_MUSCLE
59,13.6,GAIN_MUSCLE
15,32.54,LOSE_WEIGHT
30,21.76,MAINTAIN
53,40.55,LOSE_WEIGHT
19,22.92,MAINTAIN
36,16.79,GAIN_MUSCLE
43,33.86,LOSE_WEIGHT
17,26.23,LOSE_WEIGHT
26,36.41,LOSE_WEIGHT
40,27.06,LOSE_WEIGHT
30,16.11,GAIN_MUSCLE
51,25.1,LOSE_WEIGHT
36,22.74,MAINTAIN
43,38.17,LOSE_WEIGHT
28,22.35,MAINTAIN
42,26.32,LOSE_WEIGHT
19,17.63,GAIN_MUSCLE
44,17.2,GAIN_MUSCLE
19,15.73,GAIN_MUSCLE
26,30.04,LOSE_WEIGHT
30,28.6,LOSE_WEIGHT
40,32.64,LOSE_WEIGHT
40,18.7,MAINTAIN
35,28.25,LOSE_WEIGHT
53,39.45,LOSE_WEIGHT
50,23.03,MAINTAIN
47,40.53,LOSE_WEIGHT
44,20.53,MAINTAIN
51,11.96,GAIN_MUSCLE
37,22.26,MAINTAIN
24,20.56,MAINTAIN
19,43.36,LOSE_WEIGHT
50,12.99,GAIN_MUSCLE
48,29.42,LOSE_WEIGHT
45,43.07,LOSE_WEIGHT
24,20.02,MAINTAIN
33,21.32,MAINTAIN
46,35.35,LOSE_WEIGHT
15,38.08,LOSE_WEIGHT
19,28.89,LOSE_WEIGHT
59,31.64,LOSE_WEIGHT
18,26.7,LOSE_WEIGHT
30,22.82,MAINTAIN
38,19.69,MAINTAIN
30,25.24,LOSE_WEIGHT
16,24.58,MAINTAIN
42,16.97,GAIN_MUSCLE
46,27.33,LOSE_WEIGHT
41,32.23,LOSE_WEIGHT
34,23.26,MAINTAIN
38,26.24,LOSE_WEIGHT
26,28.71,LOSE_WEIGHT
49,23.6,MAINTAIN
47,14.13,GAIN_MUSCLE
47,17.51,GAIN_MUSCLE
57,19.8,MAINTAIN
51,21.22,MAINTAIN
26,18.24,GAIN_MUSCLE
17,24.67,MAINTAIN
15,18.8,MAINTAIN
47,30.19,LOSE_WEIGHT
54,31.52,LOSE_WEIGHT
24,25.54,LOSE_WEIGHT
57,38.66,LOSE_WEIGHT
58,28.27,LOSE_WEIGHT
43,32.21,LOSE_WEIGHT
27,24.68,MAINTAIN
26,25.16,LOSE_WEIGHT
45,18.71,MAINTAIN
16,21.24,MAINTAIN
49,28.99,LOSE_WEIGHT
37,37.31,LOSE_WEIGHT
31,17.42,GAIN_MUSCLE
40,24.12,MAINTAIN
22,19.28,MAINTAIN
43,21.05,MAINTAIN
40,15.03,GAIN_MUSCLE
24,37.52,LOSE_WEIGHT
40,14.31,GAIN_MUSCLE
48,40.23,LOSE_WEIGHT
55,16.06,GAIN_MUSCLE
21,21.98,MAINTAIN
18,14.33,GAIN_MUSCLE
59,22.57,MAINTAIN
25,16.77,GAIN_MUSCLE
43,26.61,LOSE_WEIGHT
50,27.07,LOSE_WEIGHT
39,26.27,LOSE_WEIGHT
35,24.61,MAINTAIN
50,24.94,LOSE_WEIGHT
24,29.42,LOSE_WEIGHT
51,30.09,LOSE_WEIGHT
23,19.86,MAINTAIN
38,19.55,MAINTAIN
49,28.15,LOSE_WEIGHT
49,18.54,MAINTAIN
50,29.09,LOSE_WEIGHT
32,28.31,LOSE_WEIGHT
53,23.15,MAINTAIN
46,18.65,MAINTAIN
38,34.47,LOSE_WEIGHT
37,27.65,LOSE_WEIGHT
46,21.78,MAINTAIN
51,20.9,MAINTAIN
26,21.09,MAINTAIN
27,20.4,MAINTAIN
37,26.45,LOSE_WEIGHT
39,17.46,GAIN_MUSCLE
49,20.63,MAINTAIN
55,28.4,LOSE_WEIGHT
44,29.73,LOSE_WEIGHT
31,19.23,MAINTAIN
34,29.25,LOSE_WEIGHT
39,36.72,LOSE_WEIGHT
36,24.2,MAINTAIN
27,20.04,MAINTAIN
33,23.86,MAINTAIN
50,24.83,MAINTAIN
26,14.64,GAIN_MUSCLE
55,16.12,GAIN_MUSCLE
33,27.52,LOSE_WEIGHT
26,42.2,LOSE_WEIGHT
23,13.94,GAIN_MUSCLE
21,20.93,MAINTAIN
42,29.94,LOSE_WEIGHT
28,42.7,LOSE_WEIGHT
45,22.13,MAINTAIN
33,41.67,LOSE_WEIGHT
30,31.4,LOSE_WEIGHT
19,30.32,LOSE_WEIGHT
49,27.0,LOSE_WEIGHT
26,45.45,LOSE_WEIGHT
39,22.71,MAINTAIN
35,29.33,LOSE_WEIGHT
50,13.4,GAIN_MUSCLE
37,23.64,MAINTAIN
30,40.09,LOSE_WEIGHT
53,15.31,GAIN_MUSCLE
59,17.3,GAIN_MUSCLE
56,33.9,LOSE_WEIGHT
53,20.08,MAINTAIN
28,16.17,GAIN_MUSCLE
45,40.12,LOSE_WEIGHT
19,39.12,LOSE_WEIGHT
49,18.89,MAINTAIN
37,25.14,LOSE_WEIGHT
43,26.72,LOSE_WEIGHT
57,32.0,LOSE_WEIGHT
25,22.29,MAINTAIN
32,29.96,LOSE_WEIGHT
26,18.79,MAINTAIN
23,14.04,GAIN_MUSCLE
24,14.09,GAIN_MUSCLE
58,30.04,LOSE_WEIGHT
31,24.23,MAINTAIN
52,27.2,LOSE_WEIGHT
21,13.77,GAIN_MUSCLE
27,24.14,MAINTAIN
54,17.56,GAIN_MUSCLE
56,24.41,MAINTAIN
23,25.44,LOSE_WEIGHT
41,24.27,MAINTAIN
16,11.66,GAIN_MUSCLE
19,38.07,LOSE_WEIGHT
43,19.76,MAINTAIN
51,29.86,LOSE_WEIGHT
52,21.22,MAINTAIN
33,26.48,LOSE_WEIGHT
22,10.73,GAIN_MUSCLE
59,22.27,MAINTAIN
15,16.6,GAIN_MUSCLE
36,40.21,LOSE_WEIGHT
31,26.73,LOSE_WEIGHT
21,17.18,GAIN_MUSCLE
39,12.21,GAIN_MUSCLE
59,35.11,LOSE_WEIGHT
18,24.81,MAINTAIN
50,35.7,LOSE_WEIGHT
20,17.39,GAIN_MUSCLE
45,25.41,LOSE_WEIGHT
33,42.09,LOSE_WEIGHT
58,17.74,GAIN_MUSCLE
53,28.88,LOSE_WEIGHT
41,24.02,MAINTAIN
24,16.47,GAIN_MUSCLE
40,34.97,LOSE_WEIGHT
33,27.15,LOSE_WEIGHT
53,22.16,MAINTAIN
17,17.89,GAIN_MUSCLE
59,30.66,LOSE_WEIGHT
27,40.43,LOSE_WEIGHT
42,11.44,GAIN_MUSCLE
34,14.76,GAIN_MUSCLE
42,19.44,MAINTAIN
22,39.16,LOSE_WEIGHT
55,29.19,LOSE_WEIGHT
53,36.42,LOSE_WEIGHT
15,27.09,LOSE_WEIGHT
17,25.21,LOSE_WEIGHT
27,27.73,LOSE_WEIGHT
42,23.05,MAINTAIN
39,32.18,LOSE_WEIGHT
47,30.16,LOSE_WEIGHT
52,31.92,LOSE_WEIGHT
20,15.21,GAIN_MUSCLE
58,21.15,MAINTAIN
59,26.15,LOSE_WEIGHT
46,14.13,GAIN_MUSCLE
59,14.17,GAIN_MUSCLE
35,40.06,LOSE_WEIGHT
30,24.28,MAINTAIN
35,26.81,LOSE_WEIGHT
25,17.26,GAIN_MUSCLE
51,27.51,LOSE_WEIGHT
50,20.23,MAINTAIN
49,38.6,LOSE_WEIGHT
33,25.63,LOSE_WEIGHT
34,27.25,LOSE_WEIGHT
32,15.89,GAIN_MUSCLE
55,31.46,LOSE_WEIGHT
28,14.5,GAIN_MUSCLE
29,27.77,LOSE_WEIGHT
45,25.78,LOSE_WEIGHT
15,19.4,MAINTAIN
17,27.61,LOSE_WEIGHT
30,27.91,LOSE_WEIGHT
37,12.91,GAIN_MUSCLE
25,18.14,GAIN_MUSCLE
26,30.67,LOSE_WEIGHT
24,39.02,LOSE_WEIGHT
46,21.57,MAINTAIN
30,23.83,MAINTAIN
22,24.07,MAINTAIN
52,27.43,LOSE_WEIGHT
26,42.31,LOSE_WEIGHT
38,27.72,LOSE_WEIGHT
42,26.51,LOSE_WEIGHT
22,31.67,LOSE_WEIGHT
42,16.42,GAIN_MUSCLE
50,13.79,GAIN_MUSCLE
40,28.44,LOSE_WEIGHT
22,28.41,LOSE_WEIGHT
42,22.27,MAINTAIN
42,33.68,LOSE_WEIGHT
51,19.71,MAINTAIN
55,15.74,GAIN_MUSCLE
50,14.85,GAIN_MUSCLE
41,29.35,LOSE_WEIGHT
31,14.69,GAIN_MUSCLE
23,15.82,GAIN_MUSCLE
47,18.16,GAIN_MUSCLE
34,31.69,LOSE_WEIGHT
27,27.15,LOSE_WEIGHT
42,34.82,LOSE_WEIGHT
43,18.43,GAIN_MUSCLE
27,15.05,GAIN_MUSCLE
49,17.15,GAIN_MUSCLE
20,15.09,GAIN_MUSCLE
32,18.29,GAIN_MUSCLE
19,15.42,GAIN_MUSCLE
39,22.89,MAINTAIN
16,24.53,MAINTAIN
24,24.35,MAINTAIN
44,21.39,MAINTAIN
59,20.77,MAINTAIN
19,21.29,MAINTAIN
47,27.58,LOSE_WEIGHT
15,23.63,MAINTAIN
32,24.76,MAINTAIN
46,19.48,MAINTAIN
25,38.78,LOSE_WEIGHT
35,33.82,LOSE_WEIGHT
40,26.94,LOSE_WEIGHT
39,25.02,LOSE_WEIGHT
36,16.57,GAIN_MUSCLE
41,34.87,LOSE_WEIGHT
27,19.09,MAINTAIN
47,25.47,LOSE_WEIGHT
48,23.12,MAINTAIN
55,25.5,LOSE_WEIGHT
49,15.94,GAIN_MUSCLE
15,20.56,MAINTAIN
35,15.55,GAIN_MUSCLE
20,18.37,GAIN_MUSCLE
42,23.05,MAINTAIN
31,26.52,LOSE_WEIGHT
19,19.98,MAINTAIN
45,20.1,MAINTAIN
19,40.83,LOSE_WEIGHT
52,30.34,LOSE_WEIGHT
17,12.58,GAIN_MUSCLE
37,20.55,MAINTAIN
51,37.35,LOSE_WEIGHT
51,19.6,MAINTAIN
24,15.44,GAIN_MUSCLE
24,18.4,GAIN_MUSCLE
33,26.81,LOSE_WEIGHT
31,13.62,GAIN_MUSCLE
35,15.59,GAIN_MUSCLE
28,29.66,LOSE_WEIGHT
23,26.71,LOSE_WEIGHT
15,22.99,MAINTAIN
59,40.76,LOSE_WEIGHT
27,23.28,MAINTAIN
18,22.25,MAINTAIN
15,23.41,MAINTAIN
54,23.99,MAINTAIN
46,14.48,GAIN_MUSCLE
48,21.81,MAINTAIN
42,14.84,GAIN_MUSCLE
45,20.96,MAINTAIN
22,21.36,MAINTAIN
53,36.61,LOSE_WEIGHT
40,17.95,GAIN_MUSCLE
48,27.58,LOSE_WEIGHT
17,25.11,LOSE_WEIGHT
26,25.02,LOSE_WEIGHT
15,17.19,GAIN_MUSCLE
58,28.8,LOSE_WEIGHT
19,16.41,GAIN_MUSCLE
44,18.21,GAIN_MUSCLE
44,16.04,GAIN_MUSCLE
31,20.58,MAINTAIN
37,20.25,MAINTAIN
29,41.27,LOSE_WEIGHT
51,21.65,MAINTAIN
35,25.97,LOSE_WEIGHT
28,21.01,MAINTAIN
16,15.25,GAIN_MUSCLE
25,27.84,LOSE_WEIGHT
53,15.53,GAIN_MUSCLE
52,17.35,GAIN_MUSCLE
48,18.94,MAINTAIN
52,37.2,LOSE_WEIGHT
48,26.48,LOSE_WEIGHT
32,25.12,LOSE_WEIGHT
44,27.88,LOSE_WEIGHT
29,20.38,MAINTAIN
41,22.98,MAINTAIN
48,22.14,MAINTAIN
52,27.39,LOSE_WEIGHT
47,20.11,MAINTAIN
38,24.17,MAINTAIN
29,26.92,LOSE_WEIGHT
44,16.03,GAIN_MUSCLE
56,23.0,MAINTAIN
31,27.14,LOSE_WEIGHT
19,13.12,GAIN_MUSCLE
43,30.29,LOSE_WEIGHT
18,38.61,LOSE_WEIGHT
24,18.31,GAIN_MUSCLE
31,34.41,LOSE_WEIGHT
24,17.1,GAIN_MUSCLE
31,41.73,LOSE_WEIGHT
34,15.23,GAIN_MUSCLE
38,14.27,GAIN_MUSCLE
19,31.92,LOSE_WEIGHT
48,27.7,LOSE_WEIGHT
20,25.58,LOSE_WEIGHT
16,40.16,LOSE_WEIGHT
27,41.98,LOSE_WEIGHT
57,14.26,GAIN_MUSCLE
57,16.82,GAIN_MUSCLE
25,16.52,GAIN_MUSCLE
37,31.68,LOSE_WEIGHT
30,17.26,GAIN_MUSCLE
45,28.99,LOSE_WEIGHT
25,15.52,GAIN_MUSCLE
30,13.09,GAIN_MUSCLE
22,22.25,MAINTAIN
18,37.02,LOSE_WEIGHT
54,12.9,GAIN_MUSCLE
18,11.74,GAIN_MUSCLE
39,16.85,GAIN_MUSCLE
17,13.98,GAIN_MUSCLE
46,26.14,LOSE_WEIGHT
17,37.51,LOSE_WEIGHT
41,16.88,GAIN_MUSCLE
43,34.25,LOSE_WEIGHT
46,31.71,LOSE_WEIGHT
33,37.4,LOSE_WEIGHT
35,30.44,LOSE_WEIGHT
19,41.2,LOSE_WEIGHT
32,30.59,LOSE_WEIGHT
42,16.44,GAIN_MUSCLE
56,17.6,GAIN_MUSCLE
36,26.19,LOSE_WEIGHT
35,15.38,GAIN_MUSCLE
20,18.64,MAINTAIN
15,33.44,LOSE_WEIGHT
19,28.78,LOSE_WEIGHT
55,40.95,LOSE_WEIGHT
26,39.07,LOSE_WEIGHT
40,21.66,MAINTAIN
48,24.08,MAINTAIN
28,13.98,GAIN_MUSCLE
40,25.15,LOSE_WEIGHT
59,24.8,MAINTAIN
41,18.79,MAINTAIN
