elo,player_count,level,matches_week,trainings_week,fatigue,hour,day,duration,field_available,field_pressure,field_capacity,distance_km,weather_score,temp_comfort,has_tournament,tournament_priority,field_tournament_fit,label,win_ratio,team_load,is_weekend,is_peak_hour,field_fits
1254,6,3,2,3,7,18,3,60,1,0.26,20,7.97,0.5,0.2,0,0,1,0,0.36363636363636365,5,0,1,1
1425,20,1,4,3,10,18,4,60,1,0.8,20,6.4,0.5,1.0,1,1,1,1,0.5357142857142857,7,0,1,1
1347,12,2,2,5,9,20,1,60,0,0.82,30,6.24,1.0,1.0,0,0,1,0,0.2,7,0,1,1
1482,14,1,4,3,10,8,6,90,0,0.82,20,10.11,0.0,1.0,0,0,1,0,0.5490196078431373,7,1,0,1
1274,10,2,3,4,10,8,3,60,0,0.4,30,9.31,0.5,1.0,0,0,1,0,0.38461538461538464,7,0,0,1
1514,7,3,0,7,7,16,0,120,1,0.83,10,1.11,0.5,1.0,0,0,1,1,0.6829268292682927,7,0,1,1
1230,9,1,2,0,4,14,6,90,1,0.56,20,5.18,1.0,0.2,0,0,1,1,0.6571428571428571,2,1,0,1
1442,17,1,1,6,8,22,3,90,1,0.67,15,8.5,0.5,0.2,1,3,0,0,0.3783783783783784,7,0,0,0
1084,17,2,5,2,10,20,2,120,1,0.72,10,7.15,1.0,0.5,1,2,0,0,0.25806451612903225,7,0,1,0
1045,13,3,0,0,0,10,4,60,1,0.55,15,5.54,0.5,1.0,1,3,0,0,0.45161290322580644,0,0,0,1
1005,8,1,0,2,2,14,2,90,1,0.77,10,8.17,1.0,0.2,0,0,1,1,0.3076923076923077,2,0,0,1
1542,11,2,5,1,10,20,0,60,1,0.87,30,3.64,0.7,0.5,0,0,1,0,0.9333333333333333,6,0,1,1
1021,16,2,3,4,10,18,5,60,1,0.98,10,10.33,1.0,1.0,1,2,0,0,0.6875,7,1,1,0
1250,13,1,3,6,10,14,6,90,1,0.9,15,7.37,0.5,0.5,0,0,1,0,0.8235294117647058,9,1,0,1
1078,20,1,0,0,0,20,3,90,1,0.05,20,6.76,0.5,0.2,0,0,1,1,0.7297297297297297,0,0,1,1
1104,13,3,3,7,10,14,6,90,0,0.15,10,6.02,0.5,0.5,0,0,1,0,0.2857142857142857,10,1,0,0
834,13,1,1,6,8,20,0,60,1,0.15,20,11.34,0.7,1.0,0,0,1,1,0.05555555555555555,7,0,1,1
1456,8,2,3,0,6,22,3,60,1,0.03,20,7.87,1.0,1.0,0,0,1,1,0.41509433962264153,3,0,0,1
1162,17,3,2,6,10,20,6,60,1,0.54,20,10.88,1.0,1.0,1,1,1,1,0.4528301886792453,8,1,1,1
1287,6,3,3,7,10,16,3,120,1,0.47,15,3.06,0.5,1.0,0,0,1,1,0.46153846153846156,10,0,1,1
1498,11,3,5,7,10,14,1,120,1,0.34,30,11.28,1.0,1.0,0,0,1,1,0.24242424242424243,12,0,0,1
1140,16,2,3,2,8,8,6,60,0,0.18,15,4.56,1.0,0.2,1,2,0,0,0.2,5,1,0,0
1160,9,2,3,1,7,20,0,60,1,0.37,10,9.99,0.0,1.0,0,0,1,0,0.48936170212765956,4,0,1,1
964,11,2,2,6,10,22,6,120,0,0.45,20,9.03,1.0,0.5,1,2,1,0,0.5789473684210527,8,1,0,1
1369,8,3,1,6,8,16,3,120,1,0.4,30,3.86,0.7,0.5,0,0,1,1,0.4358974358974359,7,0,1,1
1237,8,2,4,6,10,8,3,90,1,0.23,15,8.0,1.0,1.0,0,0,1,0,0.125,10,0,0,1
1144,8,2,4,1,9,14,4,120,1,0.08,10,5.05,0.2,0.2,0,0,1,0,0.4,5,0,0,1
841,11,2,2,1,5,18,5,120,1,0.44,20,11.04,0.0,0.5,1,1,1,0,0.35714285714285715,3,1,1,1
967,11,3,0,3,3,20,6,120,1,0.96,20,4.84,0.7,0.5,0,0,1,1,0.5,3,1,1,1
1015,11,1,5,6,10,16,0,60,1,0.21,20,5.52,0.7,0.5,0,0,1,1,0.13333333333333333,11,0,1,1
1518,6,1,2,4,8,10,2,60,1,0.73,10,7.96,1.0,0.5,0,0,1,1,0.32608695652173914,6,0,0,1
1557,12,1,0,5,5,8,0,90,0,0.55,15,5.23,1.0,0.2,0,0,1,0,0.6666666666666666,5,0,0,1
1186,9,3,1,6,8,18,4,60,1,0.72,20,8.15,1.0,1.0,0,0,1,1,0.05555555555555555,7,0,1,1
1101,16,2,4,4,10,8,2,60,1,0.78,20,8.2,0.2,1.0,0,0,1,0,0.6,8,0,0,1
1175,18,3,3,6,10,20,2,60,1,0.72,15,11.93,1.0,0.5,0,0,1,0,0.5094339622641509,9,0,1,0
1286,10,3,1,6,8,16,6,90,1,0.29,15,3.74,0.7,0.2,0,0,1,1,0.2777777777777778,7,1,1,1
1327,17,3,0,1,1,16,1,120,1,0.68,20,12.45,0.5,0.2,0,0,1,1,0.53125,1,0,1,1
1435,16,2,2,0,4,20,0,120,1,0.5,30,11.28,0.7,0.2,0,0,1,1,0.0,2,0,1,1
1581,8,2,1,1,3,18,2,120,0,0.1,15,11.84,0.2,0.5,0,0,1,0,0.5555555555555556,2,0,1,1
1491,15,2,1,5,7,10,4,90,1,0.07,15,13.26,0.2,0.5,1,1,0,0,0.34285714285714286,6,0,0,1
1196,15,2,1,5,7,14,6,60,0,0.5,10,6.02,0.7,0.2,0,0,1,0,0.21428571428571427,6,1,0,0
1578,13,1,4,2,10,14,0,120,1,0.08,15,9.0,1.0,0.5,0,0,1,1,0.6097560975609756,6,0,0,1
1118,16,1,2,1,5,18,2,60,1,0.12,20,6.27,0.5,1.0,1,1,1,1,0.3541666666666667,3,0,1,1
1356,20,2,2,7,10,14,1,90,1,0.22,20,8.71,0.7,1.0,1,2,1,1,0.5714285714285714,9,0,0,1
1497,20,3,2,7,10,22,0,120,1,0.91,20,10.08,0.0,0.5,0,0,1,0,0.7027027027027027,9,0,0,1
1376,9,1,3,6,10,18,5,120,0,0.57,20,5.33,0.5,1.0,0,0,1,0,0.45454545454545453,9,1,1,1
1140,10,2,0,0,0,10,1,120,1,0.91,15,9.1,1.0,1.0,0,0,1,1,0.23529411764705882,0,0,0,1
1271,15,1,4,1,9,14,4,120,0,0.24,20,5.88,1.0,0.5,0,0,1,0,0.5,5,0,0,1
1554,12,2,1,4,6,18,0,60,1,0.16,20,8.13,0.2,1.0,0,0,1,1,0.18421052631578946,5,0,1,1
1122,13,1,0,1,1,18,1,60,1,0.78,15,9.98,1.0,0.2,0,0,1,1,0.4166666666666667,1,0,1,1
1081,9,2,2,0,4,8,1,90,1,0.01,20,3.16,0.2,0.5,1,3,1,1,0.14814814814814814,2,0,0,1
1429,10,1,2,1,5,16,6,120,1,0.88,30,9.35,0.0,0.2,1,1,1,0,0.5428571428571428,3,1,1,1
1557,13,3,1,4,6,22,3,90,1,0.59,30,7.22,0.7,0.5,0,0,1,1,0.4,5,0,0,1
1314,7,3,2,0,4,10,1,90,1,0.21,30,13.14,1.0,1.0,0,0,1,1,0.90625,2,0,0,1
1561,13,2,0,7,7,14,1,60,0,0.77,15,12.47,1.0,1.0,0,0,1,0,0.8,7,0,0,1
1082,20,1,5,4,10,18,1,90,1,0.67,20,11.9,0.2,0.2,0,0,1,0,0.11764705882352941,9,0,1,1
1091,7,2,4,2,10,18,5,60,0,1.0,20,10.4,1.0,0.2,0,0,1,0,0.25,6,1,1,1
839,17,1,3,0,6,20,0,60,1,0.47,20,2.84,0.5,1.0,0,0,1,1,0.6956521739130435,3,0,1,1
1360,16,3,1,0,2,22,3,90,0,0.62,30,3.34,0.7,1.0,0,0,1,0,0.8235294117647058,1,0,0,1
1276,6,3,0,5,5,20,1,90,0,0.06,10,7.2,0.7,0.2,0,0,1,0,0.45714285714285713,5,0,1,1
1131,6,3,2,0,4,8,4,120,1,0.36,20,10.99,1.0,0.5,0,0,1,1,0.3829787234042553,2,0,0,1
1013,10,1,4,0,8,10,0,90,1,0.11,10,8.27,0.0,1.0,0,0,1,0,0.3684210526315789,4,0,0,1
1391,16,3,3,2,8,8,5,120,0,0.02,30,8.18,1.0,1.0,0,0,1,0,0.8928571428571429,5,1,0,1
1230,9,1,2,0,4,14,6,90,1,0.56,20,5.18,1.0,0.2,0,0,1,1,0.6571428571428571,2,1,0,1
813,18,3,4,0,8,18,0,120,1,0.21,10,4.53,1.0,1.0,1,1,0,1,0.391304347826087,4,0,1,0
1406,17,3,0,3,3,16,2,90,0,0.75,10,6.92,0.7,0.2,0,0,1,0,0.2631578947368421,3,0,1,0
897,14,1,1,0,2,20,5,90,0,0.27,15,1.93,0.7,0.2,0,0,1,1,0.5714285714285714,1,1,1,1
986,6,2,4,7,10,16,6,90,1,0.85,20,12.67,0.0,0.5,0,0,1,0,0.7142857142857143,11,1,1,1
1007,10,1,0,1,1,8,0,120,1,0.4,30,11.06,0.7,0.5,0,0,1,1,0.34146341463414637,1,0,0,1
871,14,1,5,7,10,18,2,120,0,0.5,20,5.48,0.2,0.2,0,0,1,0,0.0,12,0,1,1
1054,8,3,3,0,6,20,3,120,1,0.44,30,3.53,0.7,0.2,0,0,1,1,0.7857142857142857,3,0,1,1
1222,12,1,1,4,6,18,3,60,0,0.48,15,4.9,0.0,0.2,1,2,0,0,0.8333333333333334,5,0,1,1
1137,11,3,2,4,8,20,0,90,1,0.58,30,8.38,1.0,1.0,0,0,1,1,0.7297297297297297,6,0,1,1
973,7,2,0,1,1,20,0,60,1,0.35,30,7.66,0.7,0.5,0,0,1,1,0.3170731707317073,1,0,1,1
1044,15,1,0,0,0,16,3,120,1,0.09,30,8.51,0.5,0.2,1,3,1,1,0.4222222222222222,0,0,1,1
827,15,1,0,4,4,18,4,120,1,0.36,20,3.35,0.7,0.5,0,0,1,1,0.5777777777777777,4,0,1,1
1144,20,2,1,0,2,18,0,120,1,0.73,20,2.01,0.2,0.2,0,0,1,1,0.9,1,0,1,1
1361,13,2,4,6,10,8,5,120,0,0.16,30,4.59,0.2,1.0,0,0,1,0,0.45,10,1,0,1
1192,20,2,5,7,10,10,4,60,0,0.38,30,7.82,1.0,0.5,1,3,1,0,0.5106382978723404,12,0,0,1
1088,13,1,5,3,10,18,6,90,0,0.76,10,5.05,0.5,0.2,1,3,0,0,0.14285714285714285,8,1,1,0
1389,12,3,4,3,10,14,5,120,1,0.22,30,9.55,1.0,1.0,0,0,1,1,0.375,7,1,0,1
1013,16,1,0,2,2,16,4,60,1,0.87,10,5.79,1.0,0.2,0,0,1,1,0.0,2,0,1,0
1268,20,2,3,7,10,14,5,60,1,0.64,15,12.48,0.2,1.0,1,1,0,0,0.3333333333333333,10,1,0,0
1457,17,3,1,4,6,16,0,90,1,0.75,10,8.55,0.7,1.0,0,0,1,1,0.6521739130434783,5,0,1,0
1322,19,1,1,1,3,20,5,90,0,0.22,20,6.79,1.0,0.5,1,2,1,1,0.625,2,1,1,1
1423,10,2,0,3,3,18,3,120,1,0.28,15,8.23,1.0,0.5,0,0,1,1,0.5531914893617021,3,0,1,1
1548,11,3,1,1,3,20,2,120,0,0.78,20,3.59,1.0,1.0,0,0,1,1,0.3548387096774194,2,0,1,1
1497,7,3,3,3,9,14,6,60,1,0.08,10,2.13,1.0,1.0,0,0,1,1,0.3,6,1,0,1
1540,14,2,0,0,0,18,0,90,1,0.0,10,7.95,1.0,0.2,0,0,1,1,0.3,0,0,1,0
1444,17,3,0,3,3,16,4,120,1,0.41,15,5.04,1.0,1.0,0,0,1,1,0.425,3,0,1,0
1499,6,2,3,2,8,16,1,60,0,0.81,10,5.78,0.2,0.5,0,0,1,0,0.35135135135135137,5,0,1,1
805,6,3,3,0,6,20,2,60,1,0.14,15,7.97,1.0,1.0,0,0,1,1,0.65,3,0,1,1
1235,18,3,4,5,10,22,5,60,0,0.53,10,10.5,0.0,0.2,0,0,1,0,0.0,9,1,0,0
1592,6,3,1,6,8,8,4,120,1,0.23,15,7.07,0.0,0.2,0,0,1,0,0.25806451612903225,7,0,0,1
1180,18,1,1,1,3,18,0,90,1,0.47,20,5.87,1.0,0.5,0,0,1,1,0.06060606060606061,2,0,1,1
825,20,3,5,2,10,14,4,120,0,0.96,30,4.92,0.7,1.0,0,0,1,0,0.625,7,0,0,1
1006,15,3,3,1,7,14,6,60,1,0.07,20,7.46,1.0,0.5,0,0,1,1,0.6304347826086957,4,1,0,1
1206,7,1,0,6,6,18,6,120,1,0.58,30,7.25,0.2,0.2,0,0,1,0,0.6842105263157895,6,1,1,1
822,17,1,2,2,6,14,6,120,1,0.8,30,9.49,1.0,1.0,1,2,1,1,0.05,4,1,0,1
1493,14,3,4,6,10,22,0,120,0,0.09,10,9.29,0.7,0.5,0,0,1,0,0.4897959183673469,10,0,0,0
1184,8,3,3,7,10,16,4,60,1,0.18,20,2.54,1.0,1.0,1,1,1,1,0.48148148148148145,10,0,1,1
1468,9,3,3,1,7,8,5,60,0,0.12,15,2.62,0.7,0.2,1,1,0,0,0.38461538461538464,4,1,0,1
1456,19,1,5,6,10,8,3,90,1,0.96,30,2.45,0.5,0.5,1,2,1,0,0.3333333333333333,11,0,0,1
884,12,1,2,6,10,18,6,60,1,0.17,30,7.54,0.0,1.0,1,1,1,0,0.15,8,1,1,1
1068,6,3,5,7,10,8,0,90,1,0.58,30,10.73,0.7,0.2,0,0,1,0,0.38235294117647056,12,0,0,1
1548,14,2,2,0,4,18,4,90,1,0.81,10,4.04,0.7,1.0,0,0,1,1,0.5555555555555556,2,0,1,0
1423,20,3,0,6,6,22,6,120,0,0.81,10,7.36,0.2,1.0,0,0,1,0,0.7142857142857143,6,1,0,0
1299,14,2,0,5,5,18,6,90,1,0.37,30,8.15,0.7,1.0,1,3,1,1,0.48214285714285715,5,1,1,1
1555,16,2,4,5,10,18,1,120,1,0.43,30,11.42,0.7,0.5,1,1,1,1,0.5918367346938775,9,0,1,1
1271,10,3,4,1,9,22,1,60,0,0.9,30,7.41,0.2,0.2,0,0,1,0,0.5434782608695652,5,0,0,1
1470,16,3,5,3,10,20,0,90,1,0.74,30,12.0,1.0,1.0,0,0,1,1,0.7931034482758621,8,0,1,1
841,15,1,1,1,3,18,6,60,1,0.19,30,5.54,0.7,0.5,0,0,1,1,0.0625,2,1,1,1
1285,20,2,2,6,10,14,3,90,0,0.14,15,3.94,0.5,0.2,1,3,0,0,0.6333333333333333,8,0,0,0
1373,14,3,2,4,8,16,4,60,1,0.77,30,8.04,0.7,0.5,0,0,1,1,0.2608695652173913,6,0,1,1
901,10,3,0,2,2,20,0,60,1,0.96,20,7.9,1.0,0.2,1,2,1,1,0.9354838709677419,2,0,1,1
1597,12,1,4,0,8,10,5,90,1,0.47,30,12.73,0.5,0.2,0,0,1,0,0.7727272727272727,4,1,0,1
922,13,2,2,7,10,14,0,60,0,0.33,30,7.33,0.5,0.5,0,0,1,0,0.1724137931034483,9,0,0,1
1586,11,2,1,2,4,20,6,120,0,0.43,10,3.6,0.2,0.5,0,0,1,0,0.8529411764705882,3,1,1,0
1188,18,2,5,5,10,16,0,90,1,0.73,20,4.6,1.0,0.5,0,0,1,1,0.15789473684210525,10,0,1,1
902,17,3,4,5,10,10,6,60,0,0.84,20,8.11,0.2,0.2,0,0,1,0,0.35714285714285715,9,1,0,1
1114,16,1,1,0,2,18,4,60,1,0.79,15,3.33,0.7,0.2,1,1,0,1,0.49122807017543857,1,0,1,0
1116,15,1,4,7,10,10,0,90,0,0.73,15,7.25,1.0,0.5,0,0,1,0,0.5,11,0,0,1
1413,11,2,5,7,10,16,3,120,1,0.06,20,2.89,1.0,0.2,0,0,1,1,0.8421052631578947,12,0,1,1
1375,19,2,1,5,7,18,0,90,0,0.95,10,4.01,0.0,0.2,0,0,1,0,0.0,6,0,1,0
1310,11,1,0,0,0,10,0,120,1,0.55,20,5.36,0.2,1.0,1,2,1,1,0.23684210526315788,0,0,0,1
1365,18,1,2,4,8,18,5,60,1,0.29,20,7.34,0.5,0.5,1,2,1,1,0.3157894736842105,6,1,1,1
881,9,2,2,5,9,14,3,60,1,0.01,20,7.77,1.0,1.0,0,0,1,1,0.5882352941176471,7,0,0,1
1548,7,1,5,0,10,22,1,90,0,0.4,30,3.55,0.5,0.2,0,0,1,0,0.5454545454545454,5,0,0,1
862,12,1,0,3,3,10,6,60,1,0.6,15,8.96,1.0,0.5,0,0,1,1,0.6428571428571429,3,1,0,1
925,19,3,3,7,10,18,4,90,1,0.76,15,8.01,1.0,0.5,1,2,0,0,0.84375,10,0,1,0
1010,18,2,0,3,3,14,1,60,1,0.14,30,7.98,0.7,0.2,1,1,1,1,0.627906976744186,3,0,0,1
826,9,1,0,6,6,18,4,60,1,0.16,10,4.3,0.7,0.2,0,0,1,1,0.5588235294117647,6,0,1,1
1217,18,3,3,5,10,18,0,60,1,0.8,30,7.37,1.0,0.5,0,0,1,1,0.9090909090909091,8,0,1,1
1530,10,1,1,0,2,18,2,90,1,0.75,30,8.02,0.5,1.0,0,0,1,1,0.7333333333333333,1,0,1,1
947,12,2,1,0,2,18,3,60,1,0.48,15,7.61,1.0,1.0,0,0,1,1,0.6521739130434783,1,0,1,1
952,18,1,0,2,2,20,1,90,1,0.37,30,10.13,0.7,0.5,0,0,1,1,0.6428571428571429,2,0,1,1
1575,13,3,1,1,3,10,0,120,1,0.67,30,1.62,1.0,0.5,1,2,1,1,0.14285714285714285,2,0,0,1
1332,15,3,0,6,6,16,2,90,1,0.62,30,11.47,0.7,0.5,0,0,1,1,0.20512820512820512,6,0,1,1
1294,15,3,0,6,6,20,0,120,1,0.83,30,5.64,1.0,0.2,0,0,1,1,0.5,6,0,1,1
1202,20,2,2,3,7,20,0,120,1,0.95,10,11.6,0.2,0.5,0,0,1,0,0.32432432432432434,5,0,1,0
835,12,3,4,1,9,8,4,120,1,0.82,20,4.63,0.0,0.5,0,0,1,0,0.0,5,0,0,1
1144,14,3,4,6,10,16,1,120,1,0.62,30,4.25,0.7,0.5,0,0,1,1,0.22727272727272727,10,0,1,1
913,15,3,0,5,5,16,6,90,1,0.16,15,7.43,1.0,0.2,1,2,0,1,0.3333333333333333,5,1,1,1
1121,12,2,0,7,7,14,3,90,1,0.22,15,7.03,0.5,0.5,0,0,1,1,0.46511627906976744,7,0,0,1
1334,16,2,2,2,6,10,0,60,1,0.58,15,1.13,1.0,0.2,0,0,1,1,0.5,4,0,0,0
1427,20,1,0,3,3,20,2,90,1,0.29,15,3.58,0.5,0.2,0,0,1,1,0.4375,3,0,1,0
1469,17,2,1,7,9,8,1,60,1,0.62,10,11.86,0.2,1.0,1,2,0,0,0.48,8,0,0,0
849,11,2,1,5,7,16,4,60,1,0.04,30,7.37,0.5,1.0,0,0,1,1,0.0,6,0,1,1
1248,15,2,0,0,0,14,6,60,1,0.67,30,7.61,0.2,0.5,0,0,1,1,0.3783783783783784,0,1,0,1
899,12,2,3,1,7,8,3,120,0,0.56,20,8.07,0.2,0.2,0,0,1,0,0.9523809523809523,4,0,0,1
980,7,3,0,0,0,16,6,120,0,0.32,15,4.29,1.0,1.0,0,0,1,1,0.8928571428571429,0,1,1,1
1362,16,2,2,6,10,22,5,90,1,0.2,10,6.06,0.0,1.0,0,0,1,0,0.4444444444444444,8,1,0,0
1186,9,3,1,6,8,18,4,60,1,0.72,20,8.15,1.0,1.0,0,0,1,1,0.05555555555555555,7,0,1,1
1024,19,3,0,1,1,18,0,90,0,0.01,30,13.6,0.2,1.0,0,0,1,0,0.4090909090909091,1,0,1,1
1283,19,3,4,6,10,16,6,90,0,0.69,10,11.07,0.2,1.0,0,0,1,0,0.45161290322580644,10,1,1,0
1264,19,2,0,6,6,16,1,60,1,0.7,20,9.61,0.2,1.0,0,0,1,1,0.47368421052631576,6,0,1,1
1065,8,1,4,0,8,8,5,120,1,0.19,10,7.66,1.0,1.0,0,0,1,1,0.8064516129032258,4,1,0,1
1030,19,3,0,2,2,18,0,60,1,0.98,20,6.7,0.7,0.2,1,2,1,1,0.0,2,0,1,1
835,19,3,2,4,8,22,3,90,0,0.47,15,1.37,0.2,0.5,0,0,1,0,0.7647058823529411,6,0,0,0
1364,7,1,2,5,9,14,5,120,1,0.01,10,2.25,0.5,1.0,0,0,1,0,0.5192307692307693,7,1,0,1
1016,6,3,1,0,2,22,0,90,1,0.15,15,8.71,0.2,0.5,0,0,1,1,0.5806451612903226,1,0,0,1
1512,14,1,1,0,2,20,3,120,1,0.91,20,9.87,0.0,1.0,0,0,1,0,0.5142857142857142,1,0,1,1
1199,6,3,2,0,4,16,1,120,1,0.96,10,9.25,0.2,0.2,1,1,0,0,0.3877551020408163,2,0,1,1
891,7,3,5,4,10,20,6,90,1,0.74,30,3.83,1.0,0.5,1,3,1,1,0.6666666666666666,9,1,1,1
1061,14,3,0,4,4,20,2,60,0,0.06,20,6.8,1.0,0.2,1,2,1,1,0.5087719298245614,4,0,1,1
1239,19,3,0,1,1,20,0,120,1,0.82,30,6.49,0.2,0.2,0,0,1,1,0.14285714285714285,1,0,1,1
1139,6,3,1,3,5,20,0,60,1,0.8,30,3.68,0.7,0.5,0,0,1,1,0.92,4,0,1,1
804,6,3,1,2,4,8,2,60,0,0.75,10,5.3,1.0,1.0,0,0,1,0,0.84375,3,0,0,1
955,16,3,1,2,4,18,1,60,1,0.17,15,8.46,0.5,0.5,0,0,1,1,0.3939393939393939,3,0,1,0
1385,10,1,3,3,9,8,6,90,1,0.6,30,5.76,0.2,0.5,0,0,1,0,0.7058823529411765,6,1,0,1
1386,10,2,3,1,7,10,0,90,0,0.63,20,7.7,1.0,0.2,0,0,1,0,0.4,4,0,0,1
919,6,2,1,4,6,8,3,90,1,0.33,20,10.69,0.7,0.5,1,1,1,1,0.5434782608695652,5,0,0,1
904,8,3,1,0,2,20,3,90,1,0.96,20,2.03,0.7,0.2,0,0,1,1,0.7222222222222222,1,0,1,1
1200,20,3,3,1,7,14,1,120,1,0.81,10,8.01,1.0,0.5,0,0,1,0,0.7,4,0,0,0
1532,8,2,1,0,2,16,4,60,1,0.94,15,7.76,0.7,0.2,0,0,1,1,0.11764705882352941,1,0,1,1
912,8,3,5,2,10,18,1,120,1,0.84,10,7.74,0.7,1.0,1,1,0,0,0.5,7,0,1,1
1263,11,1,3,4,10,18,5,120,1,0.69,15,5.76,0.7,0.2,0,0,1,0,0.6923076923076923,7,1,1,1
814,7,1,0,3,3,18,1,120,1,0.31,30,3.37,0.5,0.2,1,1,1,1,0.43243243243243246,3,0,1,1
1329,12,2,2,4,8,22,1,120,1,0.21,30,7.93,0.0,0.2,0,0,1,0,0.24,6,0,0,1
910,14,2,3,6,10,16,2,120,1,0.11,20,6.63,0.7,1.0,0,0,1,1,0.625,9,0,1,1
1110,15,3,0,1,1,8,0,90,1,0.08,30,8.92,1.0,0.2,0,0,1,1,0.8235294117647058,1,0,0,1
1581,8,1,4,7,10,20,0,60,1,0.64,15,7.57,0.7,0.5,1,3,0,0,0.15625,11,0,1,1
1380,10,1,4,1,9,8,0,120,1,0.12,20,7.2,1.0,0.5,0,0,1,0,0.5641025641025641,5,0,0,1
1332,18,3,2,0,4,14,6,60,1,0.17,20,8.1,0.2,1.0,0,0,1,1,0.38095238095238093,2,1,0,1
1288,19,3,0,1,1,22,5,90,1,0.1,30,11.08,1.0,0.5,0,0,1,1,0.4339622641509434,1,1,0,1
1524,10,1,1,6,8,18,5,90,1,0.05,20,7.0,1.0,0.5,0,0,1,1,0.05555555555555555,7,1,1,1
