elo,player_count,level,victories,defeats,matches_week,trainings_week,fatigue,hour,day,duration,field_available,field_pressure,field_capacity,label
1252,16,2,25,8,4,0,8,14,4,60,1,0.46,10,0
858,11,2,2,20,0,6,6,16,4,120,0,0.45,15,0
1129,15,2,16,4,0,7,7,8,6,90,0,0.5,15,0
840,9,3,14,14,4,2,10,14,2,90,1,0.41,20,0
1495,15,1,25,20,5,5,10,8,2,60,1,0.28,15,0
1141,7,3,21,4,2,4,8,20,5,120,1,0.13,10,1
1117,14,2,20,25,2,2,6,20,5,120,0,0.65,30,0
1320,11,1,11,9,1,3,5,14,6,90,0,0.23,15,0
958,7,2,27,25,0,0,0,20,2,120,0,0.6,15,0
966,8,3,24,19,1,7,9,8,3,90,0,0.97,20,0
1570,17,2,7,17,1,4,6,22,6,90,0,0.37,30,0
1272,18,2,24,12,4,6,10,10,6,60,0,0.87,10,0
1456,13,2,17,29,0,1,1,14,0,60,1,0.45,15,1
1247,7,1,26,14,2,0,4,16,0,90,1,0.24,10,1
1183,9,1,10,29,0,5,5,22,1,60,0,0.29,30,0
1512,19,1,24,22,3,7,10,18,0,60,0,0.26,15,0
1361,17,3,16,13,0,4,4,10,2,60,0,0.24,30,0
864,7,2,19,17,0,3,3,20,1,90,1,0.0,20,1
1046,15,2,5,21,5,1,10,18,2,60,0,0.39,30,0
844,16,2,11,8,5,0,10,14,6,60,1,0.24,10,0
1590,15,3,24,10,1,0,2,14,4,90,0,0.83,30,0
1512,13,3,5,25,1,1,3,20,6,90,0,0.29,10,0
1004,20,1,10,29,2,6,10,22,4,90,1,0.04,15,0
1092,11,1,27,20,2,4,8,8,6,90,1,0.89,30,0
1195,11,1,15,22,3,5,10,22,4,90,0,0.73,10,0
1240,15,1,17,9,2,1,5,8,2,120,1,0.31,30,1
970,17,2,11,14,0,5,5,18,3,90,0,0.08,30,0
1172,14,3,21,5,0,2,2,22,4,120,1,0.03,10,0
1041,18,3,11,11,3,0,6,18,1,120,1,0.95,20,1
1254,18,1,18,4,4,5,10,16,2,120,1,0.25,10,0
826,17,1,15,16,3,1,7,14,6,90,1,0.21,20,0
1510,20,2,6,3,1,1,3,16,1,120,1,1.0,20,1
1483,11,3,2,17,4,4,10,14,6,60,0,0.79,15,0
924,9,1,7,25,3,0,6,14,4,120,1,0.47,15,1
1426,20,1,2,9,3,7,10,18,3,90,0,0.13,20,0
1457,7,2,14,21,4,5,10,10,6,120,0,0.77,15,0
1243,14,1,26,3,4,2,10,14,1,60,1,0.93,15,0
1154,14,2,27,2,2,3,7,20,4,90,0,0.63,10,0
1314,16,1,18,30,4,2,10,10,5,120,1,0.84,10,0
829,7,1,30,20,4,4,10,20,1,120,1,0.62,10,0
1309,20,3,17,9,5,4,10,16,1,120,1,0.3,10,0
1505,6,1,14,13,3,7,10,10,2,120,0,0.31,20,0
1551,19,2,12,4,2,1,5,14,1,90,0,0.27,15,0
944,7,1,9,30,3,6,10,10,6,60,1,0.93,20,0
994,18,1,15,16,3,7,10,14,3,60,0,0.95,30,0
1046,9,3,11,1,0,4,4,16,4,120,1,0.29,10,1
910,12,1,28,8,5,5,10,22,3,90,0,0.4,15,0
1171,14,2,2,12,4,7,10,22,4,90,0,0.13,10,0
1203,11,2,17,30,2,2,6,10,4,120,1,0.5,10,0
839,8,3,10,25,3,7,10,10,4,120,0,0.33,20,0
966,12,3,23,26,2,5,9,18,6,120,1,0.71,20,0
1286,19,1,11,10,5,1,10,16,4,90,0,0.6,20,0
1471,18,3,18,7,5,0,10,18,3,60,1,0.15,15,0
832,15,3,3,6,0,7,7,14,3,60,1,0.69,30,0
1313,18,3,29,15,5,0,10,20,1,120,0,0.56,30,0
1338,12,2,30,5,3,5,10,18,2,120,1,0.61,15,0
1052,10,3,9,7,2,4,8,20,1,120,1,0.32,20,1
1373,20,3,8,9,0,6,6,16,6,90,0,0.29,20,0
1531,7,2,29,14,5,4,10,20,3,60,0,0.83,20,0
1375,17,2,4,3,4,3,10,10,0,120,0,0.64,10,0
902,12,2,22,15,0,2,2,8,4,60,1,0.65,30,1
1288,16,1,24,30,2,5,9,14,5,60,0,0.65,15,0
1347,17,3,27,29,0,2,2,16,6,60,0,1.0,30,0
1307,8,3,30,27,2,0,4,8,2,120,0,0.93,20,0
1091,13,3,17,16,3,2,8,22,4,90,1,0.19,10,0
1138,8,3,14,20,2,2,6,8,5,90,1,0.57,15,1
979,15,3,28,12,3,5,10,8,3,120,0,0.18,15,0
1288,11,1,0,8,3,3,9,16,6,90,1,0.3,10,0
1067,16,2,22,7,0,1,1,16,2,60,1,0.69,20,1
1506,7,3,29,30,2,5,9,18,1,60,0,0.48,30,0
1565,15,2,13,22,4,7,10,22,4,120,0,0.76,10,0
1338,13,3,22,11,0,1,1,8,6,120,0,0.57,15,0
968,11,3,14,3,5,3,10,20,4,90,0,0.9,30,0
856,13,1,16,13,3,0,6,18,3,120,1,0.72,30,1
1060,19,1,23,6,4,1,9,8,3,90,0,0.54,10,0
870,20,2,1,9,3,2,8,22,1,120,1,0.37,30,0
1259,19,2,12,2,5,2,10,20,6,90,0,0.18,30,0
1341,8,3,7,26,0,0,0,14,3,120,1,0.53,15,1
1053,13,2,4,8,1,1,3,8,6,120,1,0.61,10,0
1046,9,1,3,19,0,7,7,18,5,120,0,0.24,10,0
1211,13,1,17,6,0,2,2,18,2,60,1,0.58,20,1
1042,10,1,21,16,1,6,8,14,2,60,0,0.63,30,0
1369,13,1,11,30,5,6,10,22,4,90,1,0.41,20,0
1185,8,3,15,7,1,4,6,22,5,60,1,0.91,30,0
1226,14,3,4,12,1,4,6,10,2,120,0,0.92,20,0
894,14,3,26,6,0,4,4,16,5,120,0,0.87,15,0
1579,15,3,21,17,1,7,9,10,6,90,1,0.96,10,0
1016,20,1,30,23,0,7,7,10,5,120,0,0.4,15,0
1365,11,2,12,14,4,5,10,14,2,90,1,0.47,30,0
1579,19,2,29,6,2,5,9,16,0,120,0,0.74,10,0
1067,14,3,18,23,3,4,10,10,1,90,0,0.38,15,0
1311,14,3,30,21,2,4,8,22,6,90,1,0.46,20,0
973,8,3,17,15,1,0,2,18,0,60,0,0.76,30,0
940,19,3,7,2,5,2,10,8,1,120,1,0.37,30,0
1475,13,1,0,17,4,6,10,8,0,120,1,0.54,20,0
817,14,3,21,13,1,1,3,8,4,60,0,0.19,20,0
1162,10,2,2,11,3,7,10,18,1,120,0,0.3,10,0
1469,19,3,24,1,0,6,6,16,3,120,1,0.06,10,1
1519,8,1,15,27,3,5,10,18,6,60,0,0.23,30,0
1077,6,1,21,29,2,0,4,10,6,90,0,0.96,15,0
1570,19,3,26,12,0,4,4,10,4,60,1,0.68,20,0
1193,18,3,4,25,5,1,10,18,5,90,0,0.1,15,0
877,11,3,24,19,4,6,10,22,2,60,1,0.78,30,0
1302,9,2,17,30,3,6,10,10,5,120,1,0.09,20,0
1052,17,1,2,8,1,6,8,20,6,120,0,0.74,20,0
1169,7,1,0,30,2,7,10,14,6,90,0,0.13,15,0
1241,13,3,17,16,3,1,7,8,0,90,0,0.6,20,0
1194,6,2,13,12,0,3,3,18,4,60,1,0.17,20,1
1108,10,2,4,2,1,6,8,14,3,90,1,0.78,20,0
1057,9,3,20,15,4,3,10,16,0,60,1,0.01,30,0
1140,19,3,12,25,2,7,10,14,3,120,0,0.3,15,0
1290,11,1,30,12,2,4,8,20,5,120,1,0.97,15,0
1133,12,2,26,25,3,5,10,8,4,60,0,0.68,10,0
1544,13,3,6,14,2,1,5,22,6,90,1,0.14,20,1
1047,10,3,4,22,3,6,10,8,3,120,1,0.58,30,0
1356,6,2,22,28,4,1,9,8,6,60,1,0.17,10,0
1376,16,3,20,12,2,6,10,8,0,60,1,0.22,15,0
1256,11,2,14,24,5,2,10,14,0,90,0,0.3,10,0
918,19,3,4,11,2,5,9,16,6,60,1,0.35,10,0
1248,17,3,14,10,0,4,4,8,6,120,0,0.02,20,0
1463,7,3,25,5,5,3,10,18,1,120,0,0.33,30,0
1273,9,2,20,5,1,6,8,16,0,120,0,0.45,30,0
1198,6,3,6,6,2,1,5,18,0,120,0,0.37,15,0
1268,7,2,21,27,3,5,10,18,3,120,1,0.59,20,0
1160,19,2,19,5,5,4,10,18,4,60,0,0.31,15,0
1112,7,1,11,22,1,6,8,16,4,60,1,0.42,30,1
1450,14,3,29,20,1,2,4,16,2,60,0,0.31,30,0
1434,6,2,30,0,3,2,8,10,6,90,1,0.41,30,0
1225,17,2,15,5,0,0,0,22,6,60,1,0.03,15,0
1350,10,1,24,14,4,7,10,18,4,60,0,0.27,20,0
1355,19,1,24,23,3,3,9,16,0,120,0,0.3,10,0
1260,10,2,27,26,0,7,7,22,0,60,0,0.81,20,0
1527,15,3,13,5,4,2,10,22,1,60,0,0.57,20,0
1411,14,1,10,22,2,4,8,18,2,120,0,0.14,30,0
860,10,3,4,22,1,3,5,10,5,90,0,0.76,30,0
1301,8,3,20,8,5,6,10,16,3,60,0,0.4,20,0
1511,20,2,14,30,3,5,10,18,0,120,0,0.73,30,0
1450,16,3,11,27,0,6,6,10,3,60,1,0.27,20,1
1145,14,3,4,18,3,5,10,20,6,60,0,0.1,30,0
816,7,1,14,14,0,6,6,10,5,60,1,0.16,20,1
895,16,2,8,2,2,2,6,8,3,120,1,0.73,15,0
1239,16,1,22,3,0,3,3,16,0,60,0,0.52,30,0
809,6,3,10,26,0,6,6,20,1,90,0,0.23,10,0
1548,18,1,3,10,2,4,8,10,3,60,0,0.07,10,0
1424,16,1,14,11,5,3,10,20,5,60,1,0.62,30,0
1022,7,1,4,24,0,6,6,14,3,90,0,0.25,10,0
1054,14,3,19,23,4,4,10,22,5,60,1,0.21,15,0
1565,12,2,20,1,1,7,9,16,0,60,1,0.64,10,0
1340,20,1,11,29,2,2,6,16,6,120,1,0.37,15,1
1581,13,1,0,18,0,0,0,14,1,60,0,0.95,30,0
1318,10,3,22,16,3,6,10,20,3,60,0,0.28,20,0
880,14,1,25,4,4,5,10,16,4,120,0,0.31,30,0
1547,19,1,1,7,0,6,6,8,3,120,0,0.31,15,0
922,6,3,4,22,0,2,2,16,2,120,1,0.17,15,1
1567,18,2,23,28,0,0,0,14,6,90,1,0.52,20,1
1529,15,3,2,15,3,5,10,8,3,120,0,0.37,20,0
1591,7,3,21,23,0,3,3,20,4,60,0,0.86,10,0
1050,6,2,11,12,1,2,4,22,0,120,1,0.22,15,1
1226,20,3,10,8,0,5,5,8,4,120,0,0.18,10,0
1210,7,2,27,9,2,5,9,8,4,90,0,0.37,20,0
1377,18,2,23,19,1,7,9,14,4,90,0,0.73,15,0
954,6,2,0,7,4,5,10,20,6,120,0,0.95,10,0
1577,16,2,27,23,5,4,10,8,1,120,0,0.42,10,0
945,17,2,2,1,1,6,8,20,2,90,0,0.58,15,0
1452,19,2,2,18,4,0,8,16,5,60,0,0.29,20,0
1202,17,3,10,10,3,4,10,10,0,60,0,0.78,10,0
959,7,1,14,14,2,6,10,8,4,90,0,0.45,30,0
1071,19,1,2,5,5,4,10,22,5,120,0,0.22,20,0
951,7,3,7,30,2,6,10,18,0,120,1,0.26,15,1
831,12,2,17,23,4,3,10,8,3,60,0,0.12,10,0
1599,9,1,6,26,3,5,10,20,5,120,0,0.58,20,0
876,6,1,6,28,5,7,10,22,1,60,1,0.12,30,0
851,8,3,13,26,5,6,10,16,0,90,1,0.17,15,1
991,10,2,14,28,1,0,2,18,4,120,0,0.65,30,0
1221,20,3,15,1,0,4,4,16,1,90,0,0.64,15,0
1445,18,3,25,0,3,5,10,16,4,90,1,0.91,20,0
1197,10,1,0,10,4,3,10,8,6,90,0,0.81,30,0
1342,11,3,7,5,0,3,3,20,1,90,0,0.76,15,0
1389,19,2,11,29,1,2,4,10,4,90,1,0.91,10,0
1520,17,2,30,18,4,2,10,18,1,90,1,0.18,10,0
892,6,1,19,7,0,7,7,8,2,120,0,0.81,20,0
1534,8,2,1,0,1,2,4,22,0,120,1,0.96,20,0
1521,16,2,18,3,2,4,8,14,1,60,1,0.79,30,0
1464,11,1,22,30,4,5,10,10,5,120,0,0.38,20,0
930,8,3,0,30,5,6,10,22,6,120,0,0.18,20,0
1426,9,3,18,3,3,2,8,14,5,60,0,0.35,20,0
971,16,1,26,22,5,5,10,16,0,90,0,0.25,10,0
1158,10,1,23,0,0,6,6,16,5,90,0,0.88,30,0
1187,11,3,12,3,3,3,9,10,3,60,0,0.29,20,0
1067,7,1,10,5,3,2,8,20,0,120,0,0.34,30,0
1521,6,2,30,20,1,6,8,10,0,60,1,0.21,15,0
1219,17,3,23,29,5,4,10,20,2,90,0,0.1,30,0
1385,14,2,4,1,2,0,4,16,0,90,1,0.2,10,1
1011,8,3,9,2,3,1,7,14,6,90,1,0.49,20,0
893,16,3,12,5,2,6,10,14,1,90,0,0.26,30,0
1069,9,2,18,1,1,1,3,8,5,90,1,0.97,15,0
1366,6,2,26,16,3,7,10,18,1,90,1,0.08,10,0
1314,15,3,25,18,5,2,10,8,6,90,0,0.95,15,0
1016,18,1,4,1,3,1,7,20,3,60,0,0.83,20,0
1127,20,3,29,25,0,1,1,16,4,90,1,0.86,30,1
812,18,3,19,18,4,6,10,8,3,60,0,0.57,10,0
908,15,1,25,9,4,5,10,16,2,90,1,0.57,30,0
838,8,2,12,4,4,6,10,8,3,90,0,0.05,30,0
1075,20,2,0,10,2,4,8,14,6,90,0,0.97,15,0
937,10,3,14,24,2,4,8,20,3,120,0,0.19,15,0
1216,17,2,24,16,2,0,4,18,6,60,0,0.31,30,0
938,18,3,28,18,0,2,2,10,6,60,0,0.25,30,0
851,20,2,22,6,2,5,9,22,3,120,1,0.64,10,0
1497,6,1,11,15,4,7,10,10,6,90,1,0.34,20,0
1566,19,3,2,9,0,6,6,8,1,120,0,0.86,15,0
1493,9,2,20,13,4,0,8,22,6,120,0,0.47,15,0
1462,8,3,25,0,1,4,6,18,6,90,1,0.42,30,1
1157,13,2,6,14,2,6,10,18,0,60,1,0.56,20,0
1105,16,1,15,2,2,4,8,20,2,90,1,0.66,20,1
992,8,3,24,7,0,6,6,20,2,120,0,0.72,30,0
1102,10,2,12,12,5,0,10,18,5,120,0,0.34,15,0
1502,14,3,25,15,5,5,10,18,2,60,0,0.29,30,0
931,17,2,23,25,4,2,10,20,2,120,0,0.22,15,0
1562,19,2,13,25,2,5,9,14,4,90,1,0.85,30,0
854,19,3,18,18,4,1,9,16,1,120,0,0.87,30,0
1342,10,2,1,27,1,2,4,10,2,90,1,0.14,15,1
1597,7,2,10,20,1,5,7,20,0,60,1,0.27,15,1
1390,18,1,15,25,0,2,2,18,3,120,1,0.4,30,1
1192,6,1,17,6,5,5,10,8,2,120,0,0.02,10,0
1441,17,1,7,22,2,4,8,10,0,90,1,0.17,10,0
1105,10,2,23,16,4,5,10,16,5,60,1,1.0,30,0
1167,18,1,5,30,3,0,6,10,1,120,0,0.21,10,0
1403,14,1,3,11,5,0,10,16,5,90,0,0.59,10,0
1477,7,3,26,0,0,1,1,16,3,90,0,0.55,30,0
1518,8,1,22,21,5,0,10,14,3,120,0,0.66,20,0
1437,15,3,4,13,0,1,1,14,0,60,1,0.2,15,1
1596,10,3,6,11,5,6,10,14,1,60,1,0.91,30,0
1138,9,1,0,21,0,1,1,22,4,120,1,0.15,10,1
1598,14,1,23,23,0,4,4,20,1,90,1,0.26,10,1
902,19,1,27,1,2,5,9,22,5,90,1,0.74,10,0
1576,20,1,0,27,1,2,4,14,2,90,1,0.88,10,0
1181,19,2,5,3,3,6,10,16,2,90,1,0.8,15,0
915,8,3,23,1,1,1,3,16,4,90,1,0.18,30,1
1597,11,3,0,27,5,2,10,16,3,60,1,0.44,10,0
1067,16,2,0,22,5,3,10,20,6,90,0,0.43,15,0
1293,11,3,21,20,3,2,8,22,6,120,0,0.01,15,0
1317,19,2,27,15,1,1,3,22,3,90,0,0.33,20,0
851,14,1,17,20,3,6,10,22,1,60,1,0.44,30,0
890,19,2,14,10,0,7,7,20,5,60,0,0.4,10,0
1370,14,1,26,2,4,4,10,18,4,60,1,0.95,20,0
855,19,1,27,14,2,7,10,20,5,90,1,0.11,15,0
802,11,2,26,20,2,5,9,20,0,60,0,0.49,30,0
909,10,3,6,6,0,6,6,10,3,60,1,0.11,30,1
847,20,3,26,21,4,1,9,22,3,90,0,0.96,10,0
1343,17,1,17,29,3,7,10,18,6,60,0,0.73,15,0
906,12,3,19,19,2,6,10,16,4,120,0,0.27,20,0
1101,13,1,4,13,4,4,10,22,5,120,1,0.71,15,0
1005,9,3,22,9,5,5,10,20,1,120,0,0.5,20,0
1527,7,2,17,15,4,6,10,20,5,120,1,0.88,30,0
813,14,1,0,12,1,0,2,20,0,60,1,0.75,15,1
1093,16,2,4,26,0,4,4,10,6,120,0,0.36,30,0
904,15,3,23,17,1,6,8,10,4,120,1,0.69,10,0
1190,12,2,30,25,5,5,10,18,0,60,1,0.2,30,0
1030,20,3,22,22,5,5,10,22,4,120,0,0.78,15,0
1101,13,1,21,2,1,2,4,20,4,60,1,0.04,20,1
1369,10,1,5,18,2,0,4,14,3,120,0,0.04,20,0
1411,6,3,19,26,5,4,10,16,6,120,1,0.07,20,0
1338,9,1,16,2,4,2,10,16,4,120,1,0.09,15,0
1018,16,2,10,11,2,3,7,22,4,120,1,1.0,10,0
917,16,2,14,7,5,3,10,8,5,90,1,0.92,10,0
1195,10,3,23,9,0,5,5,18,6,120,1,0.49,20,1
1467,9,2,16,2,0,2,2,22,4,120,0,0.63,15,0
1486,16,1,27,21,3,1,7,10,4,120,1,0.65,10,0
1564,16,1,0,14,5,5,10,8,0,60,0,0.18,20,0
1371,7,3,26,7,2,6,10,16,3,120,1,0.43,10,0
1198,16,1,17,0,5,1,10,22,5,120,0,0.7,10,0
1166,20,3,3,9,5,4,10,18,0,90,1,0.38,10,0
1285,8,3,7,4,5,6,10,22,6,120,1,0.96,15,0
1105,16,3,20,11,0,2,2,8,0,60,1,0.54,10,0
1112,9,3,23,28,5,5,10,10,3,120,0,0.16,15,0
1431,19,2,6,3,1,0,2,22,6,120,1,0.64,10,0
1097,16,1,8,3,1,7,9,14,2,60,0,0.1,10,0
998,11,2,14,10,4,4,10,20,4,60,1,0.81,30,0
972,6,2,7,25,1,6,8,14,6,90,0,0.68,20,0
1291,13,2,11,24,2,7,10,18,0,60,0,0.84,15,0
1351,9,2,23,28,5,1,10,20,0,60,0,0.81,30,0
1587,15,1,29,1,4,4,10,18,4,90,0,0.37,15,0
1590,15,3,27,9,1,7,9,18,4,60,1,0.36,10,0
1478,9,3,21,5,4,2,10,16,1,60,0,0.74,30,0
1167,6,1,24,15,1,1,3,14,2,60,0,0.67,20,0
1197,13,2,28,1,0,5,5,8,5,120,1,0.83,20,0
1392,14,3,5,12,5,6,10,14,4,120,0,0.52,30,0
1028,14,2,11,26,2,7,10,22,3,120,0,0.5,15,0
1250,8,1,2,16,5,4,10,10,1,60,0,0.36,10,0
1476,9,2,25,10,5,1,10,16,5,90,1,0.21,15,0
1462,19,2,0,7,0,2,2,18,4,60,0,0.63,10,0
1386,8,1,5,8,1,6,8,18,4,120,0,0.88,20,0
